75 PA4-A-Output.txt
   -4.77    20.38    13.36	      -4.77    20.38    13.36	  0.000
   -6.13    17.36    12.30	      -6.13    17.36    12.30	  0.001
   -0.25     4.92   -21.88	      -0.26     4.91   -21.88	  0.003
  -30.48   -21.33   -44.17	     -30.48   -21.33   -44.18	  0.006
   13.62    15.11   -16.42	      13.62    15.11   -16.42	  0.001
   24.37    14.76    29.17	      24.37    14.76    29.17	  0.001
    1.85    22.91    11.21	       1.85    22.91    11.21	  0.002
   26.14    -9.23     3.20	      26.14    -9.23     3.20	  0.001
    1.28    -3.93   -26.18	       1.28    -3.93   -26.18	  0.000
   -5.98     0.11    51.09	      -5.97     0.11    51.09	  0.002
   23.23    15.58    32.08	      23.23    15.58    32.08	  0.003
  -29.31     4.93   -40.32	     -29.31     4.93   -40.32	  0.001
   -5.29    24.20    30.19	      -5.29    24.20    30.19	  0.001
    7.58    23.73    22.85	       7.58    23.72    22.85	  0.003
  -19.83     2.40    -9.82	     -19.83     2.40    -9.81	  0.004
   21.00   -16.88   -10.54	      20.99   -16.87   -10.54	  0.003
   -8.02    -0.59    26.40	      -8.02    -0.59    26.40	  0.001
   15.84   -12.67     3.37	      15.84   -12.66     3.37	  0.004
   23.61     8.86    42.85	      23.61     8.86    42.85	  0.000
  -43.55   -14.44   -26.35	     -43.55   -14.44   -26.35	  0.001
  -40.60     0.91   -28.05	     -40.59     0.90   -28.05	  0.004
   -8.14     6.74    32.84	      -8.14     6.74    32.84	  0.002
  -15.39   -31.25   -32.32	     -15.39   -31.25   -32.32	  0.001
  -32.81   -15.02    -7.88	     -32.81   -15.02    -7.88	  0.002
   35.18    14.97    -3.20	      35.18    14.98    -3.19	  0.003
   -5.68     0.09    62.16	      -5.68     0.09    62.16	  0.002
   20.84    -4.75    26.74	      20.84    -4.75    26.74	  0.001
    0.66     1.72   -24.02	       0.66     1.72   -24.02	  0.002
    2.65    18.62    55.55	       2.65    18.62    55.55	  0.002
   38.50     3.31   -12.27	      38.50     3.31   -12.28	  0.004
   -8.58   -20.68    -9.69	      -8.58   -20.68    -9.69	  0.001
  -39.62   -20.68   -33.04	     -39.62   -20.68   -33.04	  0.000
   22.16    10.01    51.79	      22.16    10.01    51.79	  0.003
  -14.83    11.11   -28.65	     -14.83    11.11   -28.65	  0.003
   28.20    11.29    21.29	      28.20    11.29    21.29	  0.001
   14.51   -16.63   -11.29	      14.51   -16.64   -11.29	  0.003
   -6.86     3.24    36.91	      -6.86     3.24    36.91	  0.000
    0.02    17.10    59.60	       0.02    17.10    59.60	  0.000
   -8.18     8.19   -14.13	      -8.18     8.19   -14.13	  0.001
  -22.85     3.75   -13.33	     -22.85     3.75   -13.33	  0.001
   32.32     6.65   -25.70	      32.32     6.65   -25.70	  0.001
   21.06    11.53    58.07	      21.06    11.53    58.07	  0.001
    2.52    18.28     2.47	       2.52    18.28     2.47	  0.001
   -9.78     7.20    -7.63	      -9.78     7.20    -7.63	  0.002
   21.26    10.29    58.91	      21.26    10.29    58.91	  0.001
   21.12    10.60    59.50	      21.12    10.60    59.50	  0.002
   36.17    -2.81    -6.49	      36.17    -2.81    -6.49	  0.000
    9.02    18.60    -9.52	       9.02    18.60    -9.52	  0.000
  -40.84   -14.76   -16.23	     -40.84   -14.76   -16.23	  0.000
   14.30    19.73    56.64	      14.30    19.73    56.64	  0.002
  -33.14     8.07   -29.68	     -33.14     8.07   -29.68	  0.001
    5.61    24.52     7.34	       5.61    24.53     7.34	  0.004
   -7.32   -24.67   -37.31	      -7.32   -24.67   -37.31	  0.000
  -13.16   -21.49   -44.18	     -13.16   -21.49   -44.18	  0.000
  -15.68     9.61   -36.39	     -15.68     9.61   -36.39	  0.000
  -14.86    21.56    27.19	     -14.85    21.55    27.19	  0.003
  -19.13    11.26   -33.73	     -19.13    11.26   -33.73	  0.003
   12.91    23.70   -12.04	      12.91    23.69   -12.04	  0.005
   -0.16   -11.25   -31.45	      -0.16   -11.25   -31.45	  0.001
   31.33    19.54    -2.82	      31.33    19.54    -2.82	  0.003
  -43.87   -10.51   -23.71	     -43.87   -10.51   -23.71	  0.000
  -34.19   -20.26   -10.87	     -34.19   -20.26   -10.87	  0.001
   31.20    -6.13   -23.42	      31.20    -6.13   -23.43	  0.008
  -10.48   -11.01   -46.94	     -10.48   -11.01   -46.94	  0.001
  -20.51   -11.18   -49.51	     -20.51   -11.18   -49.51	  0.001
  -27.32     4.98   -14.27	     -27.32     4.98   -14.27	  0.000
   38.28     0.25     7.10	      38.28     0.25     7.10	  0.003
   34.12     0.16   -22.55	      34.12     0.16   -22.55	  0.001
    1.16    18.90    49.08	       1.16    18.90    49.08	  0.002
   22.46   -12.81   -20.85	      22.46   -12.81   -20.85	  0.001
   -3.74   -16.94   -39.63	      -3.74   -16.94   -39.63	  0.001
   -6.14    15.37    10.87	      -6.14    15.37    10.87	  0.001
   15.42    11.28    63.18	      15.42    11.28    63.18	  0.001
   26.21     6.50    30.85	      26.21     6.50    30.85	  0.003
  -39.70     2.10   -29.52	     -39.70     2.10   -29.52	  0.003
