200 PA4-E-Output.txt
   -1.52    23.97    21.66	      -1.52    24.11    21.65	  0.143
  -16.93     6.22   -13.17	     -16.92     6.17   -13.22	  0.069
    6.57    16.62    -5.96	       6.53    16.65    -5.99	  0.061
   11.11    -6.57    56.98	      11.11    -6.58    56.98	  0.008
    5.10     7.50    63.37	       5.10     7.50    63.34	  0.029
   32.25    13.86    12.47	      32.22    13.84    12.44	  0.047
    5.12    15.56    63.14	       5.12    15.56    63.14	  0.007
    4.23    -7.12    39.32	       4.24    -7.03    39.32	  0.096
   31.04    16.72    11.58	      31.01    16.70    11.55	  0.037
   11.67    21.96    36.21	      11.67    21.95    36.21	  0.015
  -14.73    13.52    19.92	     -14.75    13.51    19.91	  0.026
   -4.54    13.32     5.66	      -4.49    13.26     5.69	  0.090
  -31.41   -29.64   -31.78	     -31.37   -29.58   -31.77	  0.076
  -10.90    23.10    20.00	     -10.91    23.15    19.97	  0.057
   -2.87    15.04    57.43	      -2.92    15.10    57.44	  0.078
   16.89    -3.76    52.30	      16.98    -3.87    52.32	  0.146
   -8.82   -22.83   -11.96	      -8.79   -22.88   -11.93	  0.066
  -34.53   -27.53   -21.46	     -34.50   -27.49   -21.47	  0.052
  -28.81   -17.59    -7.38	     -28.81   -17.59    -7.37	  0.013
    7.63    22.64    -3.77	       7.72    22.58    -3.73	  0.110
   -0.19    -8.16    26.29	      -0.19    -8.31    26.33	  0.157
   17.66    18.94    46.18	      17.70    18.99    46.20	  0.059
  -38.24   -17.00   -13.22	     -38.27   -17.02   -13.20	  0.038
   -2.58   -20.05   -35.88	      -2.63   -20.02   -35.84	  0.075
  -33.69   -27.35   -34.41	     -33.64   -27.27   -34.38	  0.097
   26.72    -1.41   -28.46	      26.74    -1.39   -28.41	  0.050
   14.16    22.57    32.45	      14.16    22.55    32.45	  0.027
   20.20    23.50    14.64	      20.21    23.56    14.65	  0.067
   30.44    19.61   -17.55	      30.51    19.65   -17.57	  0.081
    3.43   -16.96    -8.58	       3.43   -16.94    -8.59	  0.022
   -0.81   -19.89   -31.56	      -0.82   -19.89   -31.56	  0.006
   29.63    21.23    -5.13	      29.58    21.18    -5.14	  0.068
   37.06    10.59     8.12	      36.96    10.57     8.04	  0.123
   -1.93    -7.83    28.94	      -1.90    -7.64    28.90	  0.195
   34.79    15.74    -8.82	      34.83    15.77    -8.81	  0.045
   13.05    -5.90    56.21	      13.07    -5.95    56.21	  0.047
   15.29    25.63    11.41	      15.29    25.60    11.40	  0.028
   -7.64    -7.81    12.78	      -7.62    -7.78    12.77	  0.039
   -6.17   -21.15   -11.53	      -6.17   -21.16   -11.52	  0.014
   39.66     1.90    -4.28	      39.72     1.86    -4.27	  0.064
  -39.95   -20.02   -18.16	     -39.91   -20.01   -18.18	  0.040
   -3.22   -20.64   -13.22	      -3.23   -20.61   -13.24	  0.040
   31.16    -5.12    11.66	      31.17    -5.14    11.67	  0.028
   -3.48   -22.42   -34.60	      -3.42   -22.45   -34.65	  0.083
   30.26    12.03    16.61	      30.24    12.02    16.60	  0.021
    2.75     8.66   -14.99	       2.75     8.62   -14.97	  0.044
  -17.55   -13.36   -48.76	     -17.57   -13.36   -48.69	  0.073
  -28.12   -12.24   -47.95	     -28.10   -12.24   -47.91	  0.042
  -10.47    -9.58     4.09	     -10.49    -9.65     4.12	  0.076
   18.19   -15.87   -15.34	      18.20   -15.84   -15.32	  0.037
    2.02    -6.95    53.02	       2.02    -6.92    53.02	  0.030
  -44.19    -6.65   -24.97	     -43.97    -6.70   -24.92	  0.236
   12.02   -13.45   -17.37	      12.00   -13.42   -17.34	  0.049
   -1.33    18.48    46.95	      -1.26    18.34    46.93	  0.158
  -11.35    -9.87     2.93	     -11.36    -9.89     2.93	  0.020
   15.97    24.64   -18.67	      15.97    24.64   -18.67	  0.001
