200 PA4-G-Output.txt
  -31.40     2.95   -13.76	     -31.40     2.95   -13.76	  0.002
  -41.16    -3.39   -17.37	     -41.15    -3.39   -17.37	  0.001
   -8.87   -20.46   -43.13	      -8.86   -20.46   -43.13	  0.003
   -7.55     8.85    -0.39	      -7.55     8.86    -0.39	  0.005
   11.73    17.86   -26.64	      11.73    17.86   -26.64	  0.002
   -6.72     8.86    46.43	      -6.72     8.86    46.43	  0.002
   19.12    20.34    35.42	      19.12    20.34    35.42	  0.005
   19.28    -8.37   -23.04	      19.28    -8.38   -23.05	  0.005
  -21.93   -14.19    -5.68	     -21.93   -14.19    -5.68	  0.002
   16.26    22.29   -28.72	      16.26    22.28   -28.72	  0.005
  -29.12    -2.89   -46.00	     -29.12    -2.89   -46.01	  0.005
  -40.43   -20.51   -30.71	     -40.42   -20.51   -30.71	  0.006
  -11.74    23.40    20.75	     -11.74    23.40    20.75	  0.000
   -7.96     3.51    29.76	      -7.96     3.51    29.76	  0.003
   -7.48     4.15    32.65	      -7.47     4.15    32.65	  0.007
   -0.58    -0.47   -25.72	      -0.58    -0.46   -25.73	  0.004
  -10.08   -24.40   -12.73	     -10.08   -24.39   -12.73	  0.001
   19.07    21.72    26.41	      19.08    21.72    26.42	  0.006
  -42.40   -14.65   -20.14	     -42.41   -14.65   -20.14	  0.005
    9.93    24.41    -5.00	       9.93    24.41    -5.00	  0.004
   -5.65    11.76    50.41	      -5.66    11.76    50.41	  0.000
   39.82     4.93     1.73	      39.82     4.93     1.73	  0.000
    1.86    16.68     1.38	       1.86    16.68     1.38	  0.006
    0.24    18.55     5.76	       0.24    18.55     5.76	  0.003
   18.65    -1.71    54.70	      18.65    -1.70    54.70	  0.007
   12.06   -16.73    -4.34	      12.06   -16.74    -4.33	  0.009
  -37.63    -1.65   -14.10	     -37.63    -1.65   -14.10	  0.000
   -4.60    24.54    27.95	      -4.60    24.54    27.94	  0.009
   -4.31   -24.53   -31.34	      -4.32   -24.53   -31.34	  0.003
   21.40   -11.14   -21.52	      21.40   -11.14   -21.51	  0.006
   20.67    21.13    24.62	      20.67    21.13    24.62	  0.000
    1.91    -7.24    33.70	       1.90    -7.24    33.70	  0.004
