200 PA4-H-Output.txt
  -43.06    -6.12   -30.09	     -43.06    -6.12   -30.09	  0.000
    5.44    23.97    20.28	       5.44    23.98    20.28	  0.006
  -37.60   -14.74   -11.31	     -37.60   -14.74   -11.31	  0.000
   35.47    10.44   -17.03	      35.47    10.44   -17.04	  0.002
    2.91    -9.32    19.74	       2.91    -9.32    19.74	  0.004
   -7.11   -22.79   -39.19	      -7.11   -22.79   -39.19	  0.001
   -5.20     9.65    -3.68	      -5.20     9.65    -3.68	  0.000
   15.57    24.01    18.01	      15.57    24.00    18.01	  0.013
   11.27    14.06   -11.26	      11.27    14.06   -11.26	  0.000
   -3.43   -12.59   -40.08	      -3.43   -12.59   -40.08	  0.001
   -3.11   -21.65   -34.86	      -3.12   -21.65   -34.86	  0.005
   21.43    20.56    25.09	      21.42    20.55    25.09	  0.006
   -7.29     3.85    33.37	      -7.29     3.85    33.37	  0.001
   -2.39    17.16     8.12	      -2.39    17.16     8.11	  0.001
  -16.05     2.06   -44.71	     -16.05     2.06   -44.71	  0.000
  -27.81   -30.45   -34.12	     -27.81   -30.45   -34.12	  0.004
   17.51   -17.25   -11.30	      17.50   -17.25   -11.30	  0.003
    8.55   -13.02     4.52	       8.55   -13.01     4.51	  0.007
    1.83    10.18   -10.84	       1.83    10.18   -10.83	  0.002
   -4.59   -23.41   -16.98	      -4.59   -23.41   -16.98	  0.003
  -12.53    10.11   -21.06	     -12.53    10.12   -21.06	  0.003
  -25.05   -31.45   -18.96	     -25.05   -31.45   -18.96	  0.001
   15.05    19.68   -30.59	      15.05    19.68   -30.59	  0.001
   -1.26   -16.22    -5.56	      -1.26   -16.22    -5.56	  0.003
   14.02    22.77   -24.21	      14.02    22.76   -24.21	  0.004
   36.82    -2.17    -6.57	      36.82    -2.17    -6.57	  0.004
  -39.09    -4.00   -38.61	     -39.09    -4.00   -38.61	  0.001
  -20.39   -13.30   -47.19	     -20.39   -13.29   -47.20	  0.002
   28.16   -11.41   -19.11	      28.16   -11.41   -19.11	  0.003
   37.72     4.40   -13.35	      37.72     4.40   -13.35	  0.004
   -0.32    17.81    51.95	      -0.31    17.81    51.95	  0.003
   -6.50     9.31    59.83	      -6.50     9.31    59.83	  0.003
  -42.88   -16.51   -25.55	     -42.88   -16.51   -25.55	  0.001
   27.78    22.70    -6.37	      27.78    22.69    -6.37	  0.006
  -30.48   -15.20   -46.68	     -30.48   -15.20   -46.68	  0.000
    0.50   -10.77    13.92	       0.50   -10.77    13.92	  0.002
  -29.79    -5.73    -8.62	     -29.79    -5.73    -8.62	  0.000
    5.20    -7.47    60.83	       5.20    -7.48    60.83	  0.013
   -0.03    17.24    58.01	      -0.03    17.25    58.01	  0.001
   38.77     3.63   -11.60	      38.77     3.63   -11.60	  0.003
   -0.07    19.05     6.82	      -0.07    19.06     6.82	  0.008
    6.67    -6.87    36.34	       6.67    -6.87    36.34	  0.001
   -6.60    13.62    44.08	      -6.61    13.62    44.08	  0.005
  -17.26   -31.96   -22.72	     -17.26   -31.95   -22.72	  0.006
  -33.62   -18.88    -9.52	     -33.62   -18.88    -9.52	  0.002
   -1.13    -0.66   -26.48	      -1.13    -0.66   -26.48	  0.003
  -38.94     0.56   -34.81	     -38.94     0.56   -34.81	  0.004
  -26.48    10.08   -33.25	     -26.48    10.08   -33.24	  0.005
  -22.12   -11.30   -48.94	     -22.12   -11.30   -48.94	  0.004
   15.51    21.88    35.73	      15.51    21.87    35.73	  0.003
   -8.24     7.87    -6.58	      -8.24     7.87    -6.59	  0.004
   12.47   -13.02     4.29	      12.47   -13.03     4.29	  0.005
   21.06     4.83    59.58	      21.08     4.83    59.58	  0.013
   10.81    -6.46    50.12	      10.81    -6.45    50.12	  0.004
   21.61    -6.91   -24.32	      21.61    -6.91   -24.32	  0.000
  -42.59   -11.27   -18.78	     -42.59   -11.27   -18.78	  0.004
   23.90     6.00    41.77	      23.90     6.00    41.77	  0.000
   -4.99   -22.56   -14.86	      -4.99   -22.56   -14.86	  0.003
    7.19   -14.01     0.89	       7.19   -14.02     0.90	  0.002
   12.12    16.99   -22.70	      12.12    16.99   -22.70	  0.005
  -37.60    -3.72   -12.66	     -37.60    -3.72   -12.66	  0.003
   18.51    25.35   -22.07	      18.51    25.35   -22.07	  0.001
   15.75    -2.92   -22.25	      15.75    -2.92   -22.25	  0.000
   33.39    -5.25   -20.79	      33.40    -5.25   -20.79	  0.003
  -31.51   -29.87   -23.37	     -31.50   -29.87   -23.37	  0.001
  -22.33     5.34   -42.00	     -22.33     5.34   -42.00	  0.002
   -4.23    13.76    57.19	      -4.24    13.77    57.19	  0.010
   -8.90     7.54    30.84	      -8.90     7.54    30.84	  0.001
  -29.38   -30.40   -20.61	     -29.38   -30.40   -20.61	  0.001
   -4.99    20.99    14.33	      -4.99    20.99    14.33	  0.000
  -32.31     3.83   -39.29	     -32.31     3.83   -39.29	  0.001
   -5.57     5.61   -25.50	      -5.57     5.61   -25.50	  0.003
   13.61    27.50     2.10	      13.61    27.51     2.10	  0.004
