200 PA4-J-Output.txt
    3.09    23.85    11.19	       3.15    23.77    11.21	  0.098
    8.89    20.82    52.54	       8.84    20.98    52.56	  0.170
   -1.38   -11.02    11.51	      -1.36   -10.92    11.50	  0.105
   -2.70   -22.83   -19.85	      -2.62   -22.91   -19.82	  0.116
   -4.69    13.54    53.33	      -4.63    13.50    53.32	  0.073
   32.06    -6.74     6.58	      32.05    -6.72     6.57	  0.028
  -39.84   -21.98   -24.04	     -39.92   -22.03   -24.03	  0.099
   15.90    -6.60    23.02	      15.89    -6.53    23.01	  0.071
   -3.17    19.54    40.93	      -3.20    19.69    41.00	  0.166
   -6.18     2.65    60.71	      -6.29     2.64    60.73	  0.109
   -5.12    12.66     5.99	      -5.22    12.78     5.93	  0.160
  -10.89     0.41   -43.18	     -10.88     0.41   -43.19	  0.012
   15.32   -11.66   -19.00	      15.32   -11.64   -18.98	  0.024
   24.74    -2.60    25.33	      24.64    -2.50    25.30	  0.142
   30.13     0.14    18.02	      30.05     0.16    17.96	  0.105
  -21.61    -8.55   -48.90	     -21.61    -8.53   -48.93	  0.030
   -0.40   -18.76   -31.71	      -0.45   -18.75   -31.70	  0.046
   28.30     6.95    23.34	      28.40     6.96    23.37	  0.101
   -1.14   -21.51   -27.99	      -1.11   -21.53   -28.00	  0.035
  -28.73   -30.02   -18.68	     -28.69   -29.91   -18.74	  0.132
  -27.68   -23.50    -9.21	     -27.69   -23.53    -9.17	  0.056
  -13.89   -26.10   -12.18	     -13.89   -26.12   -12.15	  0.034
  -10.23   -25.02   -13.36	     -10.25   -24.98   -13.39	  0.056
  -16.66     5.73   -41.82	     -16.67     5.81   -41.91	  0.119
  -30.99     5.91   -38.38	     -30.95     5.83   -38.34	  0.103
  -12.22   -20.99    -9.60	     -12.17   -21.03    -9.53	  0.090
   11.47    -6.72    26.91	      11.46    -6.65    26.91	  0.066
   -4.72   -20.41   -11.49	      -4.72   -20.42   -11.48	  0.011
  -38.91    -8.36   -11.99	     -38.90    -8.36   -12.00	  0.005
  -23.60    11.72   -21.43	     -23.60    11.73   -21.43	  0.008
  -11.23    13.38    35.55	     -11.21    13.40    35.52	  0.035
  -10.68     8.77   -28.39	     -10.71     8.71   -28.39	  0.072
   19.84    14.18    58.27	      19.83    14.17    58.27	  0.017
   -5.57    -3.28    35.97	      -5.57    -3.28    35.97	  0.001
   22.47     3.98    47.87	      22.47     3.98    47.87	  0.008
  -24.13    -3.30   -47.45	     -24.15    -3.30   -47.49	  0.043
    5.05   -12.69   -22.86	       5.02   -12.67   -22.83	  0.039
