200 PA4-K-Output.txt
  -30.54     9.03   -20.13	     -30.56     9.06   -20.13	  0.036
   -9.09     3.56    25.64	      -9.01     3.58    25.62	  0.093
   34.05    -6.45   -12.95	      34.07    -6.47   -12.95	  0.030
   -7.67     5.63   -30.39	      -7.68     5.62   -30.39	  0.012
   -9.15     4.27    25.44	      -9.20     4.25    25.45	  0.058
   14.98    -7.51    16.65	      14.98    -7.52    16.65	  0.009
   -1.76    -6.31   -31.17	      -1.72    -6.30   -31.19	  0.042
   -2.97    -6.04    36.20	      -2.94    -5.95    36.18	  0.101
   19.31   -10.61   -21.06	      19.32   -10.61   -21.05	  0.009
   12.58    24.93    13.93	      12.56    25.21    13.99	  0.290
  -31.14     5.71   -38.32	     -31.15     5.73   -38.33	  0.025
  -23.56   -10.61    -5.23	     -23.59   -10.61    -5.19	  0.052
  -11.60   -30.10   -31.24	     -11.63   -30.05   -31.23	  0.061
   -7.85   -27.36   -32.40	      -7.79   -27.46   -32.42	  0.115
  -14.50    11.10   -22.88	     -14.50    11.08   -22.88	  0.025
    9.34   -14.35     1.81	       9.35   -14.27     1.78	  0.086
   16.46    25.94    -9.82	      16.45    25.98    -9.83	  0.037
   31.70    -8.30   -11.08	      31.68    -8.27   -11.09	  0.032
   18.48    -1.59    58.06	      18.47    -1.58    58.06	  0.018
   31.99    -6.88     6.37	      31.97    -6.86     6.36	  0.024
   -4.19    16.30    46.22	      -4.24    16.34    46.23	  0.065
   26.64     3.10   -30.04	      26.65     3.10   -30.03	  0.008
   12.31   -16.88    -8.40	      12.31   -16.89    -8.40	  0.006
  -31.55     8.96   -21.93	     -31.55     8.96   -21.93	  0.002
   -2.17   -19.11   -35.93	      -2.11   -19.13   -35.96	  0.068
   14.14   -12.23     4.85	      14.14   -12.24     4.85	  0.011
  -28.37   -30.30   -33.71	     -28.40   -30.37   -33.74	  0.086
   27.94    -8.18     6.27	      27.91    -8.06     6.23	  0.130
   12.33    25.50    13.14	      12.34    25.41    13.12	  0.095
   23.02    12.97    40.85	      22.95    12.94    40.84	  0.075
  -16.14    15.24    20.79	     -16.05    15.27    20.86	  0.122
  -19.20    11.98   -22.71	     -19.20    11.93   -22.71	  0.048
   24.85    16.38   -27.70	      24.88    16.41   -27.75	  0.069
   -4.06    13.73     5.55	      -4.03    13.71     5.56	  0.035
  -12.91   -23.81   -10.77	     -12.93   -23.79   -10.79	  0.032
    9.04    13.61    -9.80	       9.03    13.61    -9.81	  0.015
    3.67    22.87     8.43	       3.55    23.03     8.37	  0.205
   -5.31     0.72   -35.85	      -5.36     0.69   -35.84	  0.050
