200 PA4-C-Output.txt
    3.14    -7.02    52.60	       3.14    -7.02    52.60	  0.000
   30.05    12.94    16.46	      30.05    12.94    16.46	  0.001
  -33.86   -23.66   -13.48	     -33.86   -23.66   -13.48	  0.001
    2.23   -12.95     1.39	       2.23   -12.96     1.39	  0.005
   -9.40     1.90    22.72	      -9.40     1.90    22.72	  0.001
    7.83    21.65    -5.44	       7.83    21.65    -5.44	  0.001
   -6.26    24.39    30.96	      -6.26    24.39    30.96	  0.003
   -7.05     7.53   -21.57	      -7.05     7.54   -21.57	  0.005
   38.15    -0.49    -4.97	      38.14    -0.49    -4.97	  0.002
   -5.21    -8.19   -42.35	      -5.21    -8.19   -42.35	  0.001
   -0.16    -6.32    57.69	      -0.16    -6.31    57.69	  0.002
   11.75    -5.02    63.32	      11.75    -5.02    63.32	  0.001
  -23.82    10.27   -35.05	     -23.82    10.27   -35.05	  0.000
    2.26     0.49    63.45	       2.26     0.49    63.44	  0.001
    7.08     2.10   -20.17	       7.08     2.10   -20.17	  0.001
  -10.31    -0.99    16.04	     -10.31    -0.99    16.05	  0.004
  -40.90   -15.63   -30.97	     -40.90   -15.63   -30.97	  0.002
  -38.39   -23.03   -19.60	     -38.39   -23.03   -19.60	  0.001
  -40.74    -2.28   -17.46	     -40.74    -2.28   -17.47	  0.002
  -42.43   -14.06   -19.75	     -42.43   -14.06   -19.75	  0.002
   -3.53    10.75    -3.11	      -3.53    10.75    -3.11	  0.004
   25.88    11.69    28.56	      25.88    11.69    28.56	  0.001
  -22.08     7.12   -15.97	     -22.08     7.12   -15.97	  0.003
   -6.52     1.91    48.42	      -6.52     1.91    48.42	  0.000
   -0.17   -18.67   -11.00	      -0.17   -18.67   -11.00	  0.003
  -11.59     4.05   -40.81	     -11.59     4.05   -40.81	  0.000
    9.84    -5.35    63.38	       9.84    -5.35    63.38	  0.001
  -40.06   -12.03   -32.21	     -40.06   -12.03   -32.21	  0.002
    4.49    -9.29    18.69	       4.49    -9.29    18.68	  0.004
   22.80    14.47    36.34	      22.80    14.47    36.33	  0.003
   14.50    23.58   -22.53	      14.50    23.58   -22.53	  0.002
   12.40   -10.74     8.82	      12.40   -10.74     8.82	  0.003
   38.33     3.02     8.38	      38.34     3.03     8.38	  0.003
  -27.94   -26.19   -40.90	     -27.94   -26.19   -40.90	  0.001
   -0.03    19.96    42.78	      -0.03    19.96    42.78	  0.005
   22.44    12.94    43.72	      22.45    12.95    43.72	  0.002
  -14.90    12.35    23.08	     -14.90    12.35    23.08	  0.003
  -29.21   -14.60    -6.61	     -29.21   -14.60    -6.62	  0.001
    7.20    -8.11   -23.04	       7.20    -8.11   -23.04	  0.003
  -32.48   -13.23    -7.09	     -32.48   -13.23    -7.09	  0.000
   32.05     1.29    15.62	      32.05     1.29    15.62	  0.001
   18.10    -1.67    60.33	      18.10    -1.67    60.33	  0.001
   18.30    -3.63   -23.02	      18.30    -3.63   -23.02	  0.000
    8.48    17.86    -8.82	       8.48    17.86    -8.82	  0.001
   -6.45     9.49    59.83	      -6.45     9.49    59.83	  0.001
   -7.75   -26.10   -17.52	      -7.75   -26.10   -17.52	  0.001
  -17.83    -0.09    -3.26	     -17.83    -0.09    -3.26	  0.003
  -34.56    -1.21   -42.42	     -34.56    -1.21   -42.42	  0.001
    0.28    23.84    18.72	       0.28    23.84    18.72	  0.004
  -12.68   -21.73    -9.47	     -12.68   -21.73    -9.47	  0.003
   10.72    -6.68    53.08	      10.72    -6.68    53.08	  0.002
   -6.99     7.20    59.17	      -7.00     7.20    59.17	  0.002
   -3.50    11.29    -1.77	      -3.51    11.29    -1.77	  0.003
  -23.71   -16.06    -6.12	     -23.71   -16.06    -6.12	  0.001
  -31.95     6.68   -35.39	     -31.95     6.68   -35.39	  0.002
  -34.29   -10.36   -45.84	     -34.29   -10.36   -45.84	  0.003
  -39.34   -13.76   -39.44	     -39.34   -13.76   -39.44	  0.001
    5.07    21.29     0.28	       5.07    21.29     0.28	  0.003
  -22.00     6.51   -40.81	     -22.00     6.51   -40.81	  0.000
   12.00    20.29   -19.20	      12.00    20.29   -19.20	  0.001
  -16.90     6.13   -13.17	     -16.90     6.13   -13.17	  0.003
   30.43    20.67    -9.18	      30.43    20.67    -9.18	  0.003
  -36.01   -21.04   -12.88	     -36.01   -21.04   -12.88	  0.001
   -7.48   -20.23    -9.85	      -7.48   -20.23    -9.85	  0.002
   -4.95   -11.12   -42.24	      -4.95   -11.12   -42.23	  0.002
   -6.31    -9.69     9.50	      -6.31    -9.70     9.50	  0.003
   17.34    26.76     3.55	      17.34    26.76     3.55	  0.003
   -6.68     1.48    36.89	      -6.68     1.48    36.89	  0.002
  -11.92   -30.63   -25.36	     -11.92   -30.63   -25.36	  0.003
   -1.49    -6.85   -31.10	      -1.49    -6.85   -31.10	  0.001
   21.45    12.47    51.21	      21.45    12.47    51.21	  0.001
    1.25    14.05    -2.24	       1.25    14.05    -2.24	  0.004
  -40.07     1.50   -22.96	     -40.07     1.50   -22.96	  0.003
    6.60    16.84    -5.99	       6.60    16.84    -5.99	  0.002
   33.20     6.03    14.30	      33.20     6.03    14.30	  0.005
   18.31     3.19    63.00	      18.31     3.19    63.00	  0.000
    3.20    18.22    62.01	       3.19    18.22    62.01	  0.000
   22.71     1.98    43.92	      22.71     1.98    43.92	  0.002
    7.02    -7.63    23.92	       7.02    -7.63    23.92	  0.003
  -10.23    15.76    14.75	     -10.22    15.76    14.76	  0.002
  -41.73    -9.20   -31.17	     -41.73    -9.20   -31.17	  0.000
  -13.85    19.27    18.91	     -13.85    19.27    18.91	  0.001
  -15.33    20.83    23.92	     -15.33    20.83    23.92	  0.000
   -6.13     0.52    57.61	      -6.13     0.52    57.61	  0.001
  -43.53   -13.40   -23.77	     -43.52   -13.40   -23.78	  0.003
   11.07     0.40   -20.87	      11.07     0.40   -20.88	  0.003
    8.18   -13.39   -19.58	       8.18   -13.39   -19.58	  0.000
   34.75     1.17    12.36	      34.75     1.17    12.36	  0.001
  -24.06   -15.16    -6.09	     -24.06   -15.16    -6.09	  0.002
  -30.64   -29.59   -19.58	     -30.64   -29.59   -19.57	  0.005
   -6.32     9.91    60.00	      -6.32     9.91    60.00	  0.001
   16.74    -3.39    59.57	      16.73    -3.39    59.57	  0.003
  -14.68   -23.73    -9.99	     -14.68   -23.72    -9.99	  0.004
   38.23    11.25    -3.06	      38.24    11.25    -3.06	  0.003
  -22.56    12.24   -26.47	     -22.56    12.24   -26.47	  0.001
   -2.93    -4.72    55.39	      -2.93    -4.72    55.39	  0.001
