200 PA4-F-Output.txt
   -3.41     4.73   -23.90	      -3.43     4.72   -23.90	  0.020
  -16.33    10.67   -34.01	     -16.34    10.64   -34.00	  0.029
    5.49    20.50    43.46	       5.49    20.46    43.45	  0.044
   11.74    25.79    11.48	      11.74    25.80    11.49	  0.010
  -27.20   -31.27   -32.85	     -27.18   -31.24   -32.84	  0.034
   10.94    17.65   -11.22	      10.91    17.64   -11.24	  0.041
   -9.98   -26.26   -15.42	      -9.98   -26.27   -15.41	  0.009
   -5.47    20.05    39.76	      -5.44    19.89    39.69	  0.181
   -6.28     9.82    50.51	      -6.27     9.81    50.51	  0.010
   -6.34    -1.72    36.15	      -6.21    -1.70    36.14	  0.137
  -10.54     7.05     3.04	     -10.46     6.96     3.05	  0.124
   -3.14   -18.77   -10.29	      -3.14   -18.75   -10.30	  0.026
  -38.25   -23.46   -32.02	     -38.20   -23.43   -32.01	  0.053
  -42.06   -11.27   -29.04	     -42.07   -11.28   -29.05	  0.018
   30.50    -2.76   -26.20	      30.51    -2.76   -26.14	  0.061
   -2.09    16.66    48.97	      -2.14    16.71    49.01	  0.084
    0.27    10.86    -7.78	       0.29    10.82    -7.76	  0.053
  -31.95    -3.35    -9.93	     -31.94    -3.37    -9.97	  0.052
   -9.01   -29.20   -28.16	      -9.07   -29.11   -28.14	  0.112
  -26.77    -0.20   -45.46	     -26.81    -0.14   -45.54	  0.109
  -14.94    12.87    29.78	     -14.97    12.84    29.80	  0.048
   -6.85     1.77    32.93	      -7.18     1.75    32.97	  0.337
    6.36    10.37   -12.07	       6.36    10.34   -12.05	  0.043
   21.30    -3.76   -24.66	      21.30    -3.76   -24.65	  0.010
   17.84    27.06    -1.27	      17.83    27.03    -1.27	  0.032
   20.22   -12.01   -20.82	      20.25   -11.98   -20.80	  0.052
   -1.97   -19.92   -34.86	      -1.93   -19.96   -34.90	  0.067
   -1.02   -15.30   -36.30	      -1.15   -15.32   -36.22	  0.150
   -0.62    -6.31    55.78	      -0.57    -6.22    55.78	  0.100
    0.07     0.38   -24.86	       0.07     0.38   -24.87	  0.002
    3.28    20.04     2.66	       3.24    20.06     2.64	  0.048
  -31.81   -26.90   -15.81	     -31.81   -26.91   -15.80	  0.017
   -2.00    -8.48   -32.84	      -1.96    -8.46   -32.86	  0.047
  -34.40     4.47   -36.86	     -34.38     4.44   -36.83	  0.047
   -6.81     1.94    39.65	      -6.59     1.97    39.64	  0.226
  -28.67   -17.74    -7.26	     -28.66   -17.74    -7.34	  0.073
   -2.99    -4.93   -35.55	      -3.03    -4.94   -35.56	  0.041
    1.89    -9.26    20.89	       1.91    -9.36    20.91	  0.106
   21.32   -14.05    -3.55	      21.30   -14.02    -3.58	  0.050
  -37.81   -24.11   -32.11	     -37.74   -24.05   -32.09	  0.092
  -27.73    11.11   -26.24	     -27.74    11.13   -26.24	  0.025
   18.10    -7.65    13.65	      18.11    -7.66    13.65	  0.016
   23.08    -1.22    33.90	      23.14    -1.29    33.93	  0.098
   35.30    -2.14   -19.10	      35.30    -2.14   -19.11	  0.005
   -0.28   -18.18   -31.62	      -0.27   -18.18   -31.62	  0.010
    8.45   -16.13    -7.12	       8.46   -16.10    -7.12	  0.036
   14.91    22.68    31.94	      14.88    22.52    31.95	  0.166
   32.92     7.91    14.16	      32.89     7.90    14.13	  0.046
  -36.59   -19.70   -12.48	     -36.56   -19.68   -12.50	  0.047
   37.26    12.94     3.66	      37.21    12.92     3.66	  0.051
   27.36    22.81    -9.65	      27.39    22.85    -9.65	  0.048
   -3.05    14.90    58.63	      -3.03    14.87    58.63	  0.034
   22.91     2.93   -28.86	      22.93     2.96   -28.82	  0.054
    3.12    -9.35    19.41	       3.11    -9.33    19.41	  0.017
    2.70   -12.36   -25.77	       2.74   -12.36   -25.80	  0.046
    5.98   -14.30   -20.73	       6.05   -14.38   -20.78	  0.113
   -8.08    20.92    36.86	      -8.09    20.96    36.89	  0.049
   27.09     3.69    26.82	      27.19     3.68    26.86	  0.107
    4.95    23.74     6.31	       4.91    23.79     6.30	  0.061
    7.20    23.01    28.40	       7.20    22.90    28.38	  0.113
   31.02    -8.55    -1.91	      31.01    -8.53    -1.91	  0.026
   23.49    -7.95     7.35	      23.51    -8.02     7.37	  0.077
  -13.53    16.77    17.80	     -13.59    16.80    17.71	  0.112
  -30.51   -17.50   -46.15	     -30.52   -17.50   -46.16	  0.016
   -4.93    10.75    -0.37	      -4.90    10.71    -0.36	  0.051
  -26.78    11.34   -24.75	     -26.81    11.43   -24.75	  0.097
    9.71    -6.91    24.65	       9.73    -7.13    24.67	  0.213
    6.21    20.32    44.38	       6.19    20.45    44.39	  0.140
  -31.05   -29.56   -32.62	     -31.07   -29.58   -32.63	  0.026
   -3.37    12.68     1.94	      -3.34    12.64     1.95	  0.053
   -3.57    -4.04    56.92	      -3.56    -4.03    56.92	  0.016
   -8.50   -28.74   -26.15	      -8.42   -28.86   -26.12	  0.141
   18.19    17.53    51.40	      18.15    17.49    51.39	  0.056
   -3.85   -24.83   -28.72	      -3.81   -24.86   -28.73	  0.056
  -23.73   -30.46   -16.49	     -23.74   -30.39   -16.53	  0.081
   36.01     5.64   -18.69	      35.98     5.64   -18.68	  0.031
   -1.09    -5.73    49.41	      -1.07    -5.68    49.41	  0.057
    3.38    13.61    63.04	       3.39    13.61    63.14	  0.101
  -40.76    -5.32   -35.70	     -40.80    -5.33   -35.72	  0.039
  -33.06   -27.73   -18.35	     -33.01   -27.67   -18.38	  0.086
   32.67     2.09    15.21	      32.65     2.09    15.19	  0.031
  -30.23    -8.72    -6.75	     -30.23    -8.73    -6.75	  0.001
   11.20    18.97   -13.52	      11.23    18.98   -13.51	  0.033
   16.43    -3.50    58.40	      16.57    -3.64    58.41	  0.199
  -18.99    11.49   -32.61	     -18.99    11.51   -32.62	  0.030
  -16.55    -1.30   -47.10	     -16.56    -1.31   -47.08	  0.028
  -15.40    -1.60     3.88	     -15.42    -1.60     3.88	  0.022
   -1.48    -5.68    54.36	      -1.49    -5.71    54.36	  0.032
   36.17    14.43     4.24	      36.23    14.47     4.24	  0.072
   -6.77     4.52    46.18	      -6.79     4.52    46.18	  0.018
   -5.74    16.70    43.72	      -5.68    16.67    43.69	  0.077
    3.61     4.93   -19.21	       3.60     4.92   -19.20	  0.012
    9.88    -3.88    63.39	       9.88    -3.88    63.37	  0.022
   -8.70     6.40   -34.04	      -8.77     6.32   -34.00	  0.116
   -3.90    -8.77    20.81	      -3.94    -8.83    20.83	  0.072
   22.83    11.01   -30.99	      22.83    11.01   -31.01	  0.012
  -24.96     3.42   -13.58	     -24.97     3.42   -13.56	  0.024
  -39.24    -2.39   -37.21	     -39.34    -2.36   -37.27	  0.113
   11.33    24.56    -7.16	      11.34    24.55    -7.16	  0.015
   17.17    -8.89   -21.50	      17.15    -8.93   -21.55	  0.065
  -41.07   -18.65   -19.76	     -41.01   -18.62   -19.77	  0.065
  -30.87     6.08   -38.06	     -30.84     6.02   -38.03	  0.075
   -3.44     4.63   -24.03	      -3.43     4.64   -24.04	  0.012
   -8.03     6.49   -28.24	      -8.03     6.48   -28.24	  0.006
   -7.95    21.73    16.58	      -7.94    21.71    16.60	  0.025
   -7.87     5.81   -30.83	      -7.84     5.85   -30.83	  0.051
   34.73     4.11   -21.82	      34.63     4.10   -21.76	  0.117
   10.54    -6.74    52.10	      10.52    -6.65    52.11	  0.089
  -10.26     6.80    -5.18	     -10.31     6.87    -5.17	  0.089
  -10.80   -23.54   -11.68	     -10.82   -23.52   -11.71	  0.045
   13.18   -17.23    -8.71	      13.21   -17.13    -8.68	  0.106
   33.97    12.90   -19.00	      33.95    12.89   -18.99	  0.022
   16.28     4.29    63.10	      16.28     4.29    63.04	  0.057
   21.57   -15.90   -15.35	      21.54   -15.73   -15.34	  0.172
  -11.32   -26.00   -40.04	     -11.39   -25.87   -39.93	  0.182
  -26.46   -22.83    -8.34	     -26.44   -22.77    -8.39	  0.074
  -28.11   -18.38    -7.24	     -28.11   -18.38    -7.23	  0.006
   23.28     5.26    45.56	      23.10     5.30    45.53	  0.186
  -35.69   -25.11   -35.05	     -35.64   -25.06   -35.02	  0.081
    6.01    -6.81    39.21	       6.02    -6.91    39.21	  0.109
  -10.25    -6.95     8.97	     -10.19    -6.89     8.94	  0.081
   14.43    -2.32    63.10	      14.43    -2.32    63.08	  0.017
   -6.75     8.32    -9.18	      -6.77     8.38    -9.17	  0.067
   25.64    21.14    13.49	      25.65    21.16    13.50	  0.026
   34.69    -4.78     4.87	      34.72    -4.80     4.87	  0.035
   23.09     5.18    45.95	      23.00     5.20    45.94	  0.090
   24.59    11.95    33.35	      24.60    11.95    33.35	  0.011
   -8.12     8.12   -21.61	      -8.13     8.11   -21.61	  0.013
  -22.60   -21.58   -45.98	     -22.59   -21.57   -45.97	  0.021
   10.62    22.64    31.29	      10.62    22.45    31.27	  0.193
    9.85    -6.52   -21.81	       9.85    -6.52   -21.82	  0.011
   -6.28     9.72    59.69	      -6.36     9.74    59.69	  0.092
  -15.59   -11.80    -2.52	     -15.61   -11.83    -2.47	  0.068
  -21.92    -6.33    -4.65	     -21.94    -6.32    -4.62	  0.034
  -14.58     4.88   -42.02	     -14.60     4.85   -41.98	  0.050
  -11.93     9.22   -29.17	     -11.92     9.24   -29.18	  0.022
   17.95    -7.48    14.04	      17.97    -7.60    14.07	  0.122
  -29.14     0.25   -44.25	     -29.12     0.22   -44.19	  0.070
  -12.24     9.33   -18.66	     -12.25     9.30   -18.67	  0.033
   -2.94    10.96    62.89	      -2.91    10.95    62.82	  0.083
  -12.18    20.92    18.29	     -12.14    20.87    18.35	  0.081
   -0.55     1.63   -24.73	      -0.55     1.63   -24.73	  0.000
  -39.61   -14.69   -37.37	     -39.66   -14.70   -37.38	  0.048
   13.22    10.59   -14.29	      13.18    10.60   -14.31	  0.048
  -10.80   -18.72   -44.96	     -10.77   -18.75   -44.94	  0.038
   23.45     8.02    44.04	      23.48     8.02    44.05	  0.025
   11.62    20.24   -14.52	      11.66    20.22   -14.51	  0.042
   10.57     2.75    63.05	      10.57     2.75    63.06	  0.007
  -20.88   -30.49   -36.82	     -20.88   -30.47   -36.81	  0.018
    3.95    -0.46    63.38	       3.95    -0.46    63.34	  0.037
  -37.64   -13.37   -42.33	     -37.62   -13.36   -42.32	  0.022
  -39.66   -13.27   -13.82	     -39.65   -13.27   -13.83	  0.014
   37.99    -1.00   -11.34	      38.02    -1.02   -11.35	  0.042
  -37.98     4.15   -28.81	     -37.97     4.14   -28.81	  0.019
  -35.25   -17.20    -9.94	     -35.25   -17.20    -9.95	  0.002
  -40.94   -19.79   -29.79	     -40.91   -19.78   -29.78	  0.026
   26.07    -2.03    23.81	      26.00    -1.95    23.77	  0.124
   -4.89    16.21     9.85	      -4.87    16.18     9.88	  0.053
   15.04    12.59    63.14	      15.04    12.59    63.16	  0.019
   24.83     6.60   -30.31	      24.83     6.60   -30.33	  0.013
   13.02     0.89    62.99	      13.02     0.89    63.02	  0.036
  -30.17   -11.48   -47.20	     -30.19   -11.48   -47.24	  0.043
   -4.99    -2.26    56.82	      -4.99    -2.26    56.82	  0.006
  -13.47    16.09    34.83	     -13.43    16.12    34.79	  0.062
   31.63    10.98    15.03	      31.54    10.94    14.99	  0.105
   27.57    13.16    21.85	      27.50    13.14    21.82	  0.078
   -7.50    15.27    12.43	      -7.55    15.32    12.38	  0.087
  -16.77     6.31   -13.37	     -16.78     6.34   -13.34	  0.035
  -42.69    -2.83   -26.25	     -42.74    -2.81   -26.25	  0.055
  -20.38   -31.95   -21.06	     -20.38   -32.09   -21.04	  0.146
    4.54    23.16    27.49	       4.53    23.09    27.48	  0.070
  -43.66   -11.20   -22.96	     -43.62   -11.20   -22.97	  0.037
   33.87     1.73    13.51	      33.89     1.73    13.52	  0.021
   -6.71     8.94    54.08	      -6.51     8.90    54.09	  0.197
  -25.51   -12.34   -48.36	     -25.52   -12.34   -48.42	  0.065
   22.01    19.88    26.32	      21.94    19.83    26.29	  0.086
  -14.87   -15.05   -47.92	     -14.86   -15.05   -47.93	  0.013
   22.22    20.60    22.70	      22.16    20.52    22.67	  0.105
    3.59    11.15   -10.21	       3.60    11.11   -10.20	  0.038
  -25.47    -4.85    -8.09	     -25.50    -4.80    -8.03	  0.090
  -14.46    11.60    23.18	     -14.40    11.64    23.19	  0.070
   10.58    24.75    15.77	      10.58    24.78    15.78	  0.033
   -8.93    25.03    24.47	      -8.93    25.02    24.47	  0.001
   -9.04     7.15   -31.58	      -9.06     7.14   -31.58	  0.018
   -7.91    15.52    40.23	      -7.86    15.52    40.17	  0.075
    0.42    12.48    -3.82	       0.38    12.59    -3.86	  0.124
    2.66   -15.73   -24.42	       2.60   -15.70   -24.40	  0.064
    8.08    20.45    54.84	       8.08    20.45    54.84	  0.001
   -6.02     2.00   -35.74	      -6.03     1.99   -35.73	  0.014
    6.18    22.68    29.52	       6.18    22.69    29.52	  0.002
    9.03    -6.69    45.91	       9.03    -6.68    45.91	  0.007
   32.50    -6.85     0.18	      32.42    -6.74     0.18	  0.137
  -18.81   -10.52    -2.92	     -18.80   -10.52    -2.95	  0.026
   25.34     4.43    33.41	      25.46     4.42    33.43	  0.123
  -35.41     6.65   -29.12	     -35.37     6.59   -29.11	  0.066
  -40.24   -19.46   -18.24	     -40.20   -19.45   -18.26	  0.052
   -3.57   -16.62   -39.84	      -3.66   -16.57   -39.75	  0.130
   27.41    -8.82     4.18	      27.41    -8.84     4.19	  0.024
    6.75    -1.07    63.28	       6.75    -1.07    63.34	  0.062
  -28.46   -28.03   -14.24	     -28.47   -28.04   -14.23	  0.011
